title,region,startYear,runtimeMinutes,genres,averageRating,numVotes,tconst,nconst,category,pname,byear,kftitles,Thriller,History,Comedy,Romance,Western,Sci-Fi,News,Family,Drama,Musical,Biography,Adventure,Horror,War,Animation,Action,Sport,Music,Documentary,Crime,Mystery,Fantasy,region_num,nconst_num,category_num
Les proies,FR,2017.0,93.0,"Drama,Thriller,War",6.3,56748,tt5592248,nm0000379,actress,Kirsten Dunst,1982,"tt1527186,tt0145487,tt0110367,tt0110148",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1425,0
Truth and Justice,GB,2019.0,165.0,Drama,8.1,4085,tt5593384,nm1273350,actor,Priit Võigemast,1980,"tt11317654,tt6129048,tt5593384,tt11443368",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9700,2
Kingsglaive: Final Fantasy XV,FR,2016.0,110.0,"Action,Adventure,Animation",6.7,21511,tt5595168,nm0666739,actor,Aaron Paul,1979,"tt0844708,tt2369135,tt0903747,tt9243946",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,5987,2
Red Color,US,2016.0,147.0,"Comedy,Crime,Drama",8.0,4597,tt5600714,nm0643348,actor,Akshay Oberoi,1985,"tt5600714,tt3794302,tt4699202,tt6102396",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9703,2
Doctor Sleep,FR,2019.0,152.0,"Drama,Fantasy,Horror",7.3,181227,tt5606664,nm0000191,actor,Ewan McGregor,1971,"tt2763304,tt0203009,tt0117951,tt1322269",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2470,2
"Juliet, Naked",FR,2018.0,97.0,"Comedy,Drama,Music",6.6,22260,tt5607096,nm0000160,actor,Ethan Hawke,1970,"tt2209418,tt0112471,tt0139654,tt1065073",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,386,2
Corps et âme,FR,2017.0,116.0,"Drama,Fantasy,Mystery",7.5,27110,tt5607714,nm1573967,actor,Géza Morcsányi,1952,"tt2140047,tt5607714,tt0353693,tt0273949",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9706,2
Tully,FR,2018.0,95.0,"Comedy,Drama,Mystery",6.9,57999,tt5610554,nm0718646,director,Jason Reitman,1977,"tt0467406,tt1967545,tt0427944,tt1193138",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5743,1
Joker,AE,2016.0,130.0,"Comedy,Drama",8.4,3487,tt5611648,nm5626435,actor,Guru Somasundaram,1975,"tt7268738,tt15097216,tt1496729,tt5611648",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9712,2
90's,FR,2018.0,85.0,"Comedy,Drama",7.3,60978,tt5613484,nm2239702,actress,Katherine Waterston,1980,"tt1791528,tt4123430,tt3183660,tt2316204",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8291,0
