|tconst|nconst|name|french_title|byear|job|startyear|runtimeminutes|averagerating|numvotes|wr_score|genres|original_lang
1101066|tt0079116|nm0796923|Don Siegel|L'Évadé d'Alcatraz|1912.0|director,producer,editorial_department|1979.0|112.0|7.6|130659|7.599299947443811|Action,Biography,Crime|en
1102093|tt1191111|nm0637615|Gaspar Noé|Enter the Void|1963.0|director,producer,writer|2009.0|161.0|7.2|77868|7.199149089960989|Drama,Fantasy|en
1105853|tt1754656|nm0480850|Laurent Lafitte|Le Petit Prince|1973.0|actor,writer,director|2015.0|108.0|7.7|60981|7.6983976759345705|Adventure,Animation,Drama|en
1106072|tt0033045|nm0523932|Ernst Lubitsch|Rendez-vous|1892.0|director,actor,writer|1940.0|99.0|8.1|32286|8.096197339322694|Comedy,Drama,Romance|en
1107292|tt0024844|nm0897118|Jean Vigo|L'Atalante|1905.0|writer,director,editor|1934.0|89.0|7.8|15645|7.793372022520362|Comedy,Drama,Romance|fr
1107299|tt0030643|nm0138893|Marcel Carné|Le quai des brumes|1906.0|director,writer,miscellaneous|1938.0|91.0|7.8|9035|7.788556576143092|Crime,Drama,Romance|fr
1107304|tt0030643|nm0300064|Jean Gabin|Le quai des brumes|1904.0|actor,producer,soundtrack|1938.0|91.0|7.8|9035|7.788556576143092|Crime,Drama,Romance|fr
1107350|tt0056264|nm0587277|Lewis Milestone|Les Révoltés du Bounty|1895.0|director,writer,producer|1962.0|178.0|7.2|16101|7.195897533392096|Adventure,Drama,History|en
1107553|tt0364569|nm0661791|Park Chan-wook|Old Boy|1963.0|producer,director,writer|2003.0|120.0|8.4|558626|8.399745990577495|Action,Drama,Mystery|ko
1108693|tt0058450|nm0218840|Jacques Demy|Les Parapluies de Cherbourg|1931.0|soundtrack,director,writer|1964.0|91.0|7.8|26912|7.796140416302127|Drama,Musical,Romance|fr
1109206|tt0367959|nm0880484|Gaspard Ulliel|Hannibal Lecter : Les Origines du mal|1984.0|actor|2007.0|121.0|6.1|109095|6.100027370689733|Adventure,Crime,Drama|en
